,ID,Cluster
398,766192883,2
399,766192884,3
400,766192885,1
401,766192886,3
402,766192887,3
403,766192888,3
404,766192889,1
405,766192890,2
406,766192891,4
407,766192892,2
408,766192893,0
409,766192894,1
410,766192895,3
411,766192896,4
412,766192897,4
413,766192898,2
414,766192899,4
415,766192900,2
416,766192901,3
417,766192902,4
418,766192903,1
419,766192904,1
420,766192905,3
421,766192906,2
422,766192907,1
423,766192908,3
424,766192909,1
425,766192910,4
426,766192911,3
427,766192912,1
428,766192913,1
429,766192914,0
430,766192915,1
431,766192916,4
432,766192917,4
433,766192918,4
434,766192919,3
435,766192920,3
436,766192921,0
437,766192922,4
438,766192923,4
439,766192924,3
440,766192925,1
441,766192926,2
442,766192927,4
443,766192928,0
444,766192929,4
445,766192930,0
446,766192931,2
447,766192932,3
448,766192933,4
449,766192934,1
450,766192935,4
451,766192936,2
452,766192937,4
453,766192938,4
454,766192939,1
455,766192940,3
456,766192941,4
457,766192942,4
458,766192943,2
459,766192944,2
460,766192945,0
461,766192946,4
462,766192947,2
463,766192948,4
464,766192949,2
465,766192950,4
466,766192951,3
467,766192952,0
468,766192953,4
469,766192954,2
470,766192955,3
471,766192956,4
472,766192957,3
473,766192958,4
474,766192959,2
475,766192960,1
476,766192961,4
477,766192962,4
478,766192963,2
479,766192964,3
480,766192965,2
481,766192966,3
482,766192967,2
483,766192968,4
484,766192969,0
485,766192970,2
486,766192971,3
487,766192972,0
488,766192973,3
489,766192974,2
490,766192975,4
491,766192976,4
492,766192977,4
493,766192978,0
494,766192979,0
495,766192980,0
496,766192981,4
497,766192982,4
498,766192983,0
499,766192984,1
500,766192985,4
501,766192986,3
502,766192987,3
503,766192988,1
504,766192989,1
505,766192990,4
506,766192991,4
507,766192992,0
508,766192993,2
509,766192994,1
510,766192995,0
511,766192996,2
512,766192997,4
513,766192998,3
514,766192999,3
515,766193000,4
516,766193001,3
517,766193002,4
518,766193003,3
519,766193004,0
520,766193005,3
521,766193006,4
522,766193007,4
523,766193008,1
524,766193009,3
525,766193010,3
526,766193011,2
527,766193012,3
528,766193013,3
529,766193014,3
530,766193015,4
531,766193016,2
532,766193017,3
533,766193018,2
534,766193019,4
535,766193020,4
536,766193021,3
537,766193022,3
538,766193023,0
539,766193024,0
540,766193025,3
541,766193026,2
542,766193027,4
543,766193028,1
544,766193029,3
545,766193030,0
546,766193031,3
547,766193032,3
548,766193033,0
549,766193034,4
550,766193035,1
551,766193036,3
552,766193037,2
553,766193038,2
554,766193039,0
555,766193040,2
556,766193041,4
557,766193042,4
558,766193043,1
559,766193044,4
560,766193045,0
561,766193046,3
562,766193047,2
563,766193048,3
564,766193049,2
565,766193050,2
566,766193051,3
567,766193052,4
568,766193053,1
569,766193054,3
570,766193055,4
571,766193056,3
572,766193057,3
573,766193058,1
574,766193059,2
575,766193060,3
576,766193061,1
577,766193062,3
578,766193063,2
579,766193064,4
580,766193065,0
581,766193066,3
582,766193067,1
583,766193068,3
584,766193069,2
585,766193070,4
586,766193071,3
587,766193072,0
588,766193073,4
589,766193074,3
590,766193075,2
591,766193076,3
592,766193077,3
593,766193078,4
594,766193079,4
595,766193080,2
596,766193081,3
597,766193082,3
598,766193083,3
599,766193084,4
600,766193085,1
601,766193086,3
602,766193087,4
603,766193088,2
604,766193089,1
605,766193090,3
606,766193091,0
607,766193092,4
608,766193093,2
609,766193094,4
610,766193095,3
611,766193096,1
612,766193097,0
613,766193098,2
614,766193099,4
615,766193100,4
616,766193101,3
617,766193102,0
618,766193103,4
619,766193104,4
620,766193105,3
621,766193106,2
622,766193107,0
623,766193108,2
624,766193109,3
625,766193110,4
626,766193111,2
627,766193112,2
628,766193113,3
629,766193114,4
630,766193115,3
631,766193116,4
632,766193117,4
633,766193118,4
634,766193119,3
635,766193120,4
636,766193121,2
637,766193122,4
638,766193123,3
639,766193124,4
640,766193125,3
641,766193126,2
642,766193127,3
643,766193128,2
644,766193129,4
645,766193130,3
646,766193131,2
647,766193132,0
648,766193133,4
649,766193134,0
650,766193135,4
651,766193136,2
652,766193137,4
653,766193138,1
654,766193139,3
655,766193140,4
656,766193141,4
657,766193142,3
658,766193143,3
659,766193144,3
660,766193145,3
661,766193146,3
662,766193147,1
663,766193148,2
664,766193149,1
665,766193150,2
666,766193151,4
667,766193152,4
668,766193153,0
669,766193154,4
670,766193155,3
671,766193156,3
672,766193157,1
673,766193158,4
674,766193159,4
675,766193160,0
676,766193161,3
677,766193162,4
678,766193163,3
679,766193164,4
680,766193165,2
681,766193166,4
682,766193167,4
683,766193168,1
684,766193169,3
685,766193170,3
686,766193171,4
687,766193172,3
688,766193173,4
689,766193174,1
690,766193175,3
691,766193176,4
692,766193177,3
693,766193178,4
694,766193179,4
695,766193180,1
696,766193181,4
697,766193182,1
698,766193183,4
699,766193184,4
700,766193185,4
701,766193186,1
702,766193187,3
703,766193188,3
704,766193189,4
705,766193190,4
706,766193191,1
707,766193192,2
708,766193193,3
709,766193194,2
710,766193195,4
711,766193196,1
712,766193197,2
713,766193198,4
714,766193199,1
715,766193200,1
716,766193201,4
717,766193202,3
718,766193203,4
719,766193204,3
720,766193205,4
721,766193206,2
722,766193207,4
723,766193208,4
724,766193209,3
725,766193210,3
726,766193211,0
727,766193212,4
728,766193213,0
729,766193214,3
730,766193215,2
731,766193216,1
732,766193217,0
733,766193218,4
734,766193219,4
735,766193220,3
736,766193221,4
737,766193222,4
738,766193223,3
739,766193224,0
740,766193225,1
741,766193226,1
742,766193227,4
743,766193228,4
744,766193229,3
745,766193230,4
746,766193231,3
747,766193232,4
748,766193233,3
749,766193234,2
750,766193235,3
751,766193236,3
752,766193237,4
753,766193238,0
754,766193239,2
755,766193240,0
756,766193241,1
757,766193242,4
758,766193243,2
759,766193244,3
760,766193245,4
761,766193246,3
762,766193247,3
763,766193248,4
764,766193249,2
765,766193250,4
766,766193251,3
767,766193252,4
768,766193253,2
769,766193254,3
770,766193255,1
771,766193256,4
772,766193257,4
773,766193258,3
774,766193259,3
775,766193260,4
776,766193261,2
777,766193262,3
778,766193263,1
779,766193264,4
780,766193265,0
781,766193266,0
782,766193267,3
783,766193268,0
784,766193269,1
785,766193270,4
786,766193271,3
787,766193272,4
788,766193273,3
789,766193274,4
790,766193275,2
791,766193276,0
792,766193277,2
793,766193278,3
794,766193279,3
795,766193280,3
796,766193281,3
797,766193282,3
798,766193283,3
799,766193284,1
800,766193285,3
801,766193286,1
802,766193287,1
803,766193288,4
804,766193289,3
805,766193290,3
806,766193291,3
807,766193292,0
808,766193293,2
809,766193294,0
810,766193295,0
811,766193296,3
812,766193297,3
813,766193298,3
814,766193299,4
815,766193300,1
816,766193301,1
817,766193302,3
818,766193303,0
819,766193304,3
820,766193305,2
821,766193306,3
822,766193307,0
823,766193308,4
824,766193309,0
825,766193310,4
826,766193311,1
827,766193312,3
828,766193313,3
829,766193314,4
830,766193315,3
831,766193316,4
832,766193317,4
833,766193318,3
834,766193319,3
835,766193320,0
836,766193321,3
837,766193322,4
838,766193323,1
839,766193324,3
840,766193325,0
841,766193326,3
842,766193327,1
843,766193328,2
844,766193329,3
845,766193330,3
846,766193331,0
847,766193332,4
848,766193333,3
849,766193334,4
850,766193335,3
851,766193336,0
852,766193337,4
853,766193338,3
854,766193339,4
855,766193340,3
856,766193341,4
857,766193342,2
858,766193343,2
859,766193344,3
860,766193345,3
861,766193346,2
862,766193347,1
863,766193348,4
864,766193349,1
865,766193350,0
866,766193351,3
867,766193352,2
868,766193353,4
869,766193354,2
870,766193355,2
871,766193356,4
872,766193357,0
873,766193358,4
874,766193359,0
875,766193360,2
876,766193361,4
877,766193362,3
878,766193363,3
879,766193364,1
880,766193365,3
881,766193366,4
882,766193367,0
883,766193368,3
884,766193369,4
885,766193370,4
886,766193371,4
887,766193372,3
888,766193373,4
889,766193374,1
890,766193375,0
891,766193376,2
892,766193377,4
893,766193378,0
894,766193379,0
