,ID,Cluster
398,766192883,3
399,766192884,1
400,766192885,1
401,766192886,1
402,766192887,3
403,766192888,1
404,766192889,3
405,766192890,3
406,766192891,3
407,766192892,1
408,766192893,3
409,766192894,3
410,766192895,1
411,766192896,1
412,766192897,1
413,766192898,3
414,766192899,3
415,766192900,1
416,766192901,1
417,766192902,3
418,766192903,0
419,766192904,1
420,766192905,3
421,766192906,3
422,766192907,1
423,766192908,1
424,766192909,1
425,766192910,1
426,766192911,1
427,766192912,1
428,766192913,1
429,766192914,3
430,766192915,1
431,766192916,3
432,766192917,3
433,766192918,3
434,766192919,1
435,766192920,1
436,766192921,1
437,766192922,3
438,766192923,3
439,766192924,3
440,766192925,1
441,766192926,3
442,766192927,1
443,766192928,3
444,766192929,3
445,766192930,3
446,766192931,3
447,766192932,0
448,766192933,1
449,766192934,1
450,766192935,3
451,766192936,3
452,766192937,3
453,766192938,3
454,766192939,3
455,766192940,1
456,766192941,3
457,766192942,1
458,766192943,1
459,766192944,3
460,766192945,1
461,766192946,3
462,766192947,3
463,766192948,3
464,766192949,3
465,766192950,3
466,766192951,1
467,766192952,3
468,766192953,1
469,766192954,3
470,766192955,3
471,766192956,3
472,766192957,1
473,766192958,1
474,766192959,1
475,766192960,1
476,766192961,3
477,766192962,3
478,766192963,3
479,766192964,3
480,766192965,0
481,766192966,3
482,766192967,3
483,766192968,3
484,766192969,1
485,766192970,3
486,766192971,3
487,766192972,0
488,766192973,1
489,766192974,1
490,766192975,3
491,766192976,3
492,766192977,1
493,766192978,3
494,766192979,3
495,766192980,3
496,766192981,3
497,766192982,3
498,766192983,1
499,766192984,1
500,766192985,3
501,766192986,3
502,766192987,3
503,766192988,0
504,766192989,1
505,766192990,3
506,766192991,3
507,766192992,3
508,766192993,0
509,766192994,1
510,766192995,3
511,766192996,3
512,766192997,1
513,766192998,1
514,766192999,3
515,766193000,1
516,766193001,3
517,766193002,3
518,766193003,3
519,766193004,3
520,766193005,3
521,766193006,3
522,766193007,3
523,766193008,1
524,766193009,3
525,766193010,0
526,766193011,3
527,766193012,3
528,766193013,3
529,766193014,1
530,766193015,3
531,766193016,1
532,766193017,3
533,766193018,0
534,766193019,3
535,766193020,3
536,766193021,3
537,766193022,3
538,766193023,3
539,766193024,3
540,766193025,3
541,766193026,1
542,766193027,3
543,766193028,1
544,766193029,3
545,766193030,1
546,766193031,3
547,766193032,1
548,766193033,3
549,766193034,3
550,766193035,1
551,766193036,1
552,766193037,3
553,766193038,1
554,766193039,3
555,766193040,1
556,766193041,3
557,766193042,3
558,766193043,1
559,766193044,3
560,766193045,1
561,766193046,1
562,766193047,3
563,766193048,3
564,766193049,1
565,766193050,3
566,766193051,1
567,766193052,3
568,766193053,1
569,766193054,1
570,766193055,3
571,766193056,3
572,766193057,3
573,766193058,0
574,766193059,1
575,766193060,1
576,766193061,1
577,766193062,3
578,766193063,3
579,766193064,3
580,766193065,1
581,766193066,1
582,766193067,1
583,766193068,1
584,766193069,3
585,766193070,1
586,766193071,1
587,766193072,1
588,766193073,1
589,766193074,3
590,766193075,3
591,766193076,3
592,766193077,0
593,766193078,3
594,766193079,1
595,766193080,1
596,766193081,3
597,766193082,3
598,766193083,3
599,766193084,3
600,766193085,1
601,766193086,1
602,766193087,3
603,766193088,3
604,766193089,1
605,766193090,3
606,766193091,1
607,766193092,3
608,766193093,3
609,766193094,3
610,766193095,1
611,766193096,1
612,766193097,1
613,766193098,0
614,766193099,1
615,766193100,3
616,766193101,3
617,766193102,3
618,766193103,3
619,766193104,3
620,766193105,3
621,766193106,3
622,766193107,3
623,766193108,3
624,766193109,3
625,766193110,3
626,766193111,3
627,766193112,1
628,766193113,1
629,766193114,3
630,766193115,3
631,766193116,3
632,766193117,1
633,766193118,3
634,766193119,3
635,766193120,3
636,766193121,1
637,766193122,1
638,766193123,3
639,766193124,3
640,766193125,3
641,766193126,1
642,766193127,3
643,766193128,3
644,766193129,3
645,766193130,1
646,766193131,1
647,766193132,3
648,766193133,1
649,766193134,1
650,766193135,1
651,766193136,3
652,766193137,3
653,766193138,3
654,766193139,1
655,766193140,3
656,766193141,3
657,766193142,1
658,766193143,3
659,766193144,3
660,766193145,3
661,766193146,3
662,766193147,1
663,766193148,3
664,766193149,1
665,766193150,3
666,766193151,3
667,766193152,1
668,766193153,1
669,766193154,3
670,766193155,1
671,766193156,1
672,766193157,0
673,766193158,3
674,766193159,3
675,766193160,3
676,766193161,1
677,766193162,1
678,766193163,3
679,766193164,3
680,766193165,3
681,766193166,3
682,766193167,3
683,766193168,3
684,766193169,0
685,766193170,3
686,766193171,3
687,766193172,3
688,766193173,0
689,766193174,1
690,766193175,3
691,766193176,3
692,766193177,3
693,766193178,3
694,766193179,3
695,766193180,1
696,766193181,3
697,766193182,1
698,766193183,3
699,766193184,1
700,766193185,3
701,766193186,3
702,766193187,3
703,766193188,3
704,766193189,0
705,766193190,3
706,766193191,1
707,766193192,3
708,766193193,3
709,766193194,3
710,766193195,3
711,766193196,3
712,766193197,3
713,766193198,1
714,766193199,1
715,766193200,1
716,766193201,3
717,766193202,3
718,766193203,1
719,766193204,3
720,766193205,3
721,766193206,1
722,766193207,3
723,766193208,3
724,766193209,3
725,766193210,3
726,766193211,3
727,766193212,3
728,766193213,1
729,766193214,3
730,766193215,1
731,766193216,1
732,766193217,1
733,766193218,3
734,766193219,1
735,766193220,1
736,766193221,3
737,766193222,3
738,766193223,1
739,766193224,3
740,766193225,3
741,766193226,3
742,766193227,3
743,766193228,1
744,766193229,3
745,766193230,3
746,766193231,1
747,766193232,1
748,766193233,1
749,766193234,3
750,766193235,1
751,766193236,3
752,766193237,3
753,766193238,1
754,766193239,3
755,766193240,3
756,766193241,1
757,766193242,3
758,766193243,3
759,766193244,1
760,766193245,3
761,766193246,3
762,766193247,1
763,766193248,1
764,766193249,1
765,766193250,3
766,766193251,1
767,766193252,3
768,766193253,3
769,766193254,3
770,766193255,1
771,766193256,3
772,766193257,3
773,766193258,0
774,766193259,1
775,766193260,3
776,766193261,1
777,766193262,3
778,766193263,1
779,766193264,3
780,766193265,1
781,766193266,3
782,766193267,0
783,766193268,1
784,766193269,1
785,766193270,3
786,766193271,3
787,766193272,1
788,766193273,3
789,766193274,1
790,766193275,1
791,766193276,3
792,766193277,1
793,766193278,3
794,766193279,1
795,766193280,1
796,766193281,1
797,766193282,1
798,766193283,1
799,766193284,1
800,766193285,1
801,766193286,0
802,766193287,1
803,766193288,3
804,766193289,1
805,766193290,1
806,766193291,3
807,766193292,3
808,766193293,1
809,766193294,1
810,766193295,1
811,766193296,3
812,766193297,1
813,766193298,1
814,766193299,1
815,766193300,3
816,766193301,3
817,766193302,3
818,766193303,1
819,766193304,3
820,766193305,1
821,766193306,3
822,766193307,1
823,766193308,3
824,766193309,3
825,766193310,3
826,766193311,1
827,766193312,1
828,766193313,1
829,766193314,3
830,766193315,1
831,766193316,3
832,766193317,3
833,766193318,1
834,766193319,3
835,766193320,3
836,766193321,3
837,766193322,3
838,766193323,3
839,766193324,3
840,766193325,3
841,766193326,1
842,766193327,3
843,766193328,3
844,766193329,1
845,766193330,3
846,766193331,3
847,766193332,3
848,766193333,3
849,766193334,3
850,766193335,3
851,766193336,3
