,ID,Cluster
0,766192484,0
1,766192485,0
2,766192486,1
3,766192487,0
4,766192488,0
5,766192489,0
6,766192490,0
7,766192491,0
8,766192492,0
9,766192493,0
10,766192494,0
11,766192495,0
12,766192496,0
13,766192497,0
14,766192498,0
15,766192499,0
16,766192500,0
17,766192501,0
18,766192502,0
19,766192503,0
20,766192504,0
21,766192505,0
22,766192506,0
23,766192507,0
24,766192508,0
25,766192509,0
26,766192510,0
27,766192511,0
28,766192512,0
29,766192513,0
30,766192514,0
31,766192515,4
32,766192516,0
33,766192517,0
34,766192518,0
35,766192519,0
36,766192520,0
37,766192521,0
38,766192522,0
39,766192523,0
40,766192524,0
41,766192525,1
42,766192526,0
43,766192527,0
44,766192528,0
45,766192529,0
46,766192530,0
47,766192531,1
48,766192532,0
49,766192533,0
50,766192534,0
51,766192535,0
52,766192536,0
53,766192537,0
54,766192538,0
55,766192539,0
56,766192540,0
57,766192541,0
58,766192542,0
59,766192543,0
60,766192544,0
61,766192545,0
62,766192546,0
63,766192547,0
64,766192548,0
65,766192549,0
66,766192550,1
67,766192551,0
68,766192552,1
69,766192553,0
70,766192554,4
71,766192555,0
72,766192556,3
73,766192557,1
74,766192558,0
75,766192559,0
76,766192560,3
77,766192561,1
78,766192562,0
79,766192563,0
80,766192564,0
81,766192565,0
82,766192566,0
83,766192567,0
84,766192568,0
85,766192569,0
86,766192570,0
87,766192571,0
88,766192572,0
89,766192573,3
90,766192574,0
91,766192575,0
92,766192576,0
93,766192577,0
94,766192578,0
95,766192579,0
96,766192580,0
97,766192581,0
98,766192582,0
99,766192583,0
100,766192585,0
101,766192586,0
102,766192587,0
103,766192588,0
104,766192589,0
105,766192590,0
106,766192591,0
107,766192592,0
108,766192593,0
109,766192594,0
110,766192595,3
111,766192596,0
112,766192597,1
113,766192598,3
114,766192599,0
115,766192600,0
116,766192601,0
117,766192602,0
118,766192603,0
119,766192604,0
120,766192605,3
121,766192606,3
122,766192607,0
123,766192608,0
124,766192609,0
125,766192610,0
126,766192611,0
127,766192612,0
128,766192613,0
129,766192614,0
130,766192615,0
131,766192616,0
132,766192617,0
133,766192618,0
134,766192619,1
135,766192620,0
136,766192621,0
137,766192622,0
138,766192623,0
139,766192624,0
140,766192625,0
141,766192626,0
142,766192627,0
143,766192628,0
144,766192629,0
145,766192630,0
146,766192631,0
147,766192632,0
148,766192633,0
149,766192634,0
150,766192635,0
151,766192636,0
152,766192637,0
153,766192638,0
154,766192639,0
155,766192640,0
156,766192641,0
157,766192642,0
158,766192643,0
159,766192644,0
160,766192645,0
161,766192646,1
162,766192647,0
163,766192648,1
164,766192649,0
165,766192650,0
166,766192651,0
167,766192652,0
168,766192653,0
169,766192654,0
